Date,ConfirmedCases,ConfirmedDeaths,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex
2022-09-02,33600422,150712,11.11,22.4,25.6,0
2022-09-03,33600422,150712,11.11,22.4,25.6,0
2022-09-04,33600422,150712,11.11,22.4,25.6,0
2022-09-05,33632356,150796,11.11,22.4,25.6,0
2022-09-06,33659274,150856,11.11,22.4,25.6,0
2022-09-07,33679416,150902,11.11,22.4,25.6,0
2022-09-08,33699282,150960,11.11,22.4,25.6,0
2022-09-09,33718369,150991,11.11,22.4,25.6,0
2022-09-10,33718369,150991,11.11,22.4,25.6,0
2022-09-11,33718369,150991,11.11,22.4,25.6,0
2022-09-12,33754160,151047,11.11,22.4,25.6,0
2022-09-13,33796010,151096,11.11,22.4,25.6,0
2022-09-14,33825536,151114,11.11,22.4,25.6,0
2022-09-15,33856227,151142,11.11,22.4,25.6,0
2022-09-16,33884825,151169,11.11,22.4,25.6,0
2022-09-17,33884825,151169,11.11,22.4,25.6,0
2022-09-18,33884825,151169,11.11,22.4,25.6,0
2022-09-19,33946300,151240,11.11,22.4,25.6,0
2022-09-20,33998116,151288,11.11,22.4,25.6,0
2022-09-21,34036366,151321,11.11,22.4,25.6,0
2022-09-22,34074830,151351,11.11,22.4,25.6,0
2022-09-23,34110990,151376,11.11,22.4,25.6,0
2022-09-24,34110990,151376,11.11,22.4,25.6,0
2022-09-25,34110990,151376,11.11,22.4,25.6,0
2022-09-26,34187868,151449,11.11,22.4,25.6,0
2022-09-27,34261507,151489,11.11,22.4,25.6,0
2022-09-28,34313401,151525,11.11,22.4,25.6,0
2022-09-29,34364144,151555,11.11,22.4,25.6,0
2022-09-30,34412387,151589,11.11,22.4,25.6,0
2022-10-01,34412387,151589,11.11,22.4,25.6,0
2022-10-02,34412387,151589,11.11,22.4,25.6,0
2022-10-03,34505126,151675,11.11,22.4,25.6,0
2022-10-04,34592885,151747,11.11,22.4,25.6,0
2022-10-05,34659449,151794,11.11,22.4,25.6,0
2022-10-06,34724986,151844,11.11,22.4,25.6,0
2022-10-07,34785735,151898,11.11,22.4,25.6,0
2022-10-08,34785735,151898,11.11,22.4,25.6,0
2022-10-09,34785735,151898,11.11,22.4,25.6,0
2022-10-10,34895004,152011,11.11,22.4,25.6,0
2022-10-11,34986866,152094,11.11,22.4,25.6,0
2022-10-12,35055510,152146,11.11,22.4,25.6,0
2022-10-13,35119728,152208,11.11,22.4,25.6,0
2022-10-14,35178403,152288,11.11,22.4,25.6,0
2022-10-15,35178403,152288,11.11,22.4,25.6,0
2022-10-16,35178403,152288,11.11,22.4,25.6,0
2022-10-17,35284855,152450,11.11,22.4,25.6,0
2022-10-18,35372521,152551,11.11,20.83,23.81,0
2022-10-19,35435552,152657,11.11,20.83,23.81,0
2022-10-20,35492345,152726,11.11,20.83,23.81,0
2022-10-21,35541081,152805,11.11,20.83,23.81,0
2022-10-22,35541081,152805,11.11,20.83,23.81,0
2022-10-23,35541081,152805,11.11,20.83,23.81,0
2022-10-24,35623204,152977,11.11,20.83,23.81,0
2022-10-25,35679251,153104,11.11,20.83,23.81,0
2022-10-26,35720436,153164,11.11,20.83,23.81,0
2022-10-27,35757525,153235,11.11,20.83,23.81,0
2022-10-28,35782940,153295,11.11,20.83,23.81,0
2022-10-29,35782940,153295,11.11,20.83,23.81,0
2022-10-30,35782940,153295,11.11,20.83,23.81,0
2022-10-31,35825887,153457,11.11,20.83,23.81,0
2022-11-01,35825887,153457,11.11,20.83,23.81,0
2022-11-02,35861040,153607,11.11,20.83,23.81,0
2022-11-03,35902678,153662,11.11,20.83,23.81,0
2022-11-04,35932097,153740,11.11,20.83,23.81,0
2022-11-05,35932097,153740,11.11,20.83,23.81,0
2022-11-06,35932097,153740,11.11,20.83,23.81,0
2022-11-07,35983760,153892,11.11,20.83,23.81,0
2022-11-08,36024351,154009,11.11,20.83,23.81,0
2022-11-09,36053053,154081,11.11,20.83,23.81,0
2022-11-10,36080121,154134,11.11,20.83,23.81,0
